Projet,Image,Promoteur,Description,Pays
KHAYILATOUCH,https://cdn.fs.agorize.com/bmJVHnNTUuUuw7Imc4JA/convert?crop_first=true&fit=crop&h=140&w=300,"Rama Bouraima","KHAYILATOUCH est une marque de vêtements et accessoires de mode faits en batik. Notre objectif premier est de valoriser la créativité et ce textile africain qu'est le batik.",Togo
KINGCAFE,https://cdn.fs.agorize.com/LZPgkvF1RJyimgotqqFb/convert?crop_first=true&fit=crop&h=140&w=300,"Koami elom paul Kpelly","Nous sommes une entreprise spécialisé dans la transformation du café et cacao en capsule compatible au system-nespresso et dolce gusto. Nous produisons aussi du café moulu, café grain torréfié.",Togo
Krystela,https://cdn.fs.agorize.com/mgXZiJxRSWvs3Qvl4zwz/convert?crop_first=true&fit=crop&h=140&w=300,"Christelle ablavi Koffi akakpo","Produire de champignons naturel a travers le recyclage des déchets alimentaires des champs, par ricochet fabriquer de l engrais organique pour emblaver et enrichir les sols pour les autres cultures.",Togo
"Launship Box",https://cdn.fs.agorize.com/SesQrNRfq8MWKTwKaYsg/convert?crop_first=true&fit=crop&h=140&w=300,"Komla kekle Amegadze","Launship Box est un service d'envoi et de retrait de colis en point relais, disposant de plus de (+100) points relais colis à travers tous les quartiers de Lomé.",Togo
"Lead consulting",https://cdn.fs.agorize.com/PWXw6W1TAGUoKWoliy1V/convert?crop_first=true&fit=crop&h=140&w=300,"Selom Djodjowou","Lead consulting est une entreprise d'ingénierie énergétique et des travaux de bâtiment.Qui élabore les projets énergétiques particulièrement énergie renouvelable,et sociaux.",Togo
"Le Gestionnaire IZZI",https://cdn.fs.agorize.com/bWnHV0YtQXeDoWTc4Kyw/convert?crop_first=true&fit=crop&h=140&w=300,"Sylvie Fiagbe","Le gestionnaire IZZI est une plateforme de gestion pour les écoles, qui intègre une fonctionnalité intuitive permettant aux parents et à l'instituteur de s'échanger des informations sur l'enfant.",Togo
"le numérique au service du BTP",https://cdn.fs.agorize.com/rG4I4tJgSOyccTLGi0RE/convert?crop_first=true&fit=crop&h=140&w=300,"Aїd kodjo Otou","EDOLE AFRICA est une plateforme numérique sous la forme d’un site web et d’une application mobile pour la fourniture de mains d'œuvres qualifiés et de matériel d'exécution.",Togo
Miwadounou,https://cdn.fs.agorize.com/4AKJPqwQP9mMafZTejnw/convert?crop_first=true&fit=crop&h=140&w=300,"Cica Kounde","Mon projet concerne la vente de petitdéjeuner. Mon constat est que les travailleurs qui vont au boulot a partir de 6h n'arrive pas à petit déjeuner.",Togo
"MOEMIA Marketplace",https://cdn.fs.agorize.com/xETlQBNYQ5ug5B45kOsA/convert?crop_first=true&fit=crop&h=140&w=300,"Atchro otanami Korgnan","MOEMIA est une plateforme de e-commerce dédiée à la promotion, à l'achat et la vente à l'international des produits made in Togo aux Togolais et Africains à l’Étranger et aux entreprises au Togo.",Togo
MONSAPO,https://cdn.fs.agorize.com/pBCBpJRQtO0KdUMwIkUQ/convert?crop_first=true&fit=crop&h=140&w=300,"-Sabrine -chennaoui","MONSAPO est une marque de produits de nettoyage écologiques",Togo
Neoline,https://cdn.fs.agorize.com/N3zSJ8EmQCy0A4kks12o/convert?crop_first=true&fit=crop&h=140&w=300,"Pouwedeou Samah","Neoline est projet qui vise à former et accompagnement la jeunesse Togolaise aux métiers du numérique. Ce projet favorise l'entreprenariat au sein des TIC.",Togo
Oreonyx,https://cdn.fs.agorize.com/myZfxXccQqiAHpYxCoQF/convert?crop_first=true&fit=crop&h=140&w=300,"Segbaya Komi benoît","intégrer la technologie de pointe dans le système de l’éducation supérieur togolais et africain et offrir plus d’opportunités aux différents acteurs par une étroite inter connectivité entre eux.",Togo
"Pressing digital centralisé",https://startupper.totalenergies.com/team-avatar-4.jpg,"Kossi dodzi v. Dake","Informatiser et industrialisé le service de pressing par le biais du projet E-PRESSING (pressing digital centralisé) et s'insérer dans les plateformes stations services et supermarché (dépôt-retrait)",Togo
"RORO'S PARTY",https://cdn.fs.agorize.com/fvsrtSnQGin0fUgVPh9E/convert?crop_first=true&fit=crop&h=140&w=300,"Afi ruth Amessinou","Le projet porte principalement sur la restauration, la décoration et l'évènementiel, avec un service traiteur et de livraison à domicile.",Togo
"Safe Blood Management System",https://cdn.fs.agorize.com/Cc1OChQpSwqs7HaHjTKG/convert?crop_first=true&fit=crop&h=140&w=300,"Ayitévi firmin elom Hounou-adossi","Décéder à cause d'une pénurie de sang arrive souvent au Togo depuis des années. Avec le projet ""safe"", complément de Givers et du Challenge MAD, nous pouvons éviter cela, et ce définitivement.",Togo
Scarface,https://startupper.totalenergies.com/team-avatar-5.jpg,"Mazama esso dixon Andjaou","Totem digital tactile et interactif : notre totem digital est animé par une application interactive développé par nos développeurs. Ceci permet de remplacer les kakemono qui détruisent l'environnement",Togo
Serrurierie,https://startupper.totalenergies.com/team-avatar-9.jpg,"Safem Inter sarl","La formation professionnelle des jeunes et ados de 15 à 25 ans les plus démunis en serrurierie",Togo
"South Grown Group",https://cdn.fs.agorize.com/60ifX89lSdWfXAVyR6SL/convert?crop_first=true&fit=crop&h=140&w=300,"Kokou fogan Eboe","SOUTH GROWN GROUP opère dans le développement des chaines de valeurs agricoles biologiques. Nous commercialisons des produits agricoles bruts et transformés.",Togo
TeleEduTogo,https://cdn.fs.agorize.com/p2Mc4JxXSzSNlmwoOdS0/convert?crop_first=true&fit=crop&h=140&w=300,"Samuel Atake","TeleEduTogo est une plateforme éducative destinée au élèves du primaire et du secondaire du Togo. Elle met à leur disposition des résumés de cours, des exercices et des épreuves d'examens.",Togo
Tikena,https://startupper.totalenergies.com/team-avatar-1.jpg,"Bako adamou Mamane bariki","Tikena ou ""mon ticket"" en langue Haoussa est une plateforme web et mobile de vente de tickets de voyages à des passagers qui utilisent les compagnies terrestre.",Togo
"Transformation de manioc",https://startupper.totalenergies.com/team-avatar-6.jpg,"Mawufemo Gbedivlo","Vioto Agro Business est une entreprise d'appui à la production agricole,de transformation et de commercialisation du manioc en pâte de manioc, gari, attièkè, tapioca, amidon, cassettes",Togo
"Urbanisme durable au Togo(UDT)",https://cdn.fs.agorize.com/2aUYEBSoQH6H5yUaoW5Q/convert?crop_first=true&fit=crop&h=140&w=300,"Kokou sedoufia Sitome","Le projet urbanisme durable vise à coneiller et outiller les acteurs locaux sur l’intégration de la biodiversité et de l'environnement dans le processus de la planification urbaine au Togo.",Togo
VAMIDJO,https://cdn.fs.agorize.com/kueCdHrjTAq2r2MGDiuf/convert?crop_first=true&fit=crop&h=140&w=300,"Abdel taouphick Morou","Notre projet consiste à mettre en place une application de réservation et paiement de tickets de bus et taxis pour les voyages inter-urbains",Togo
Virtualis,https://cdn.fs.agorize.com/xJMHUtvRnSnWKzJxIVQw/convert?crop_first=true&fit=crop&h=140&w=300,"Mazamesso clement Teou","Nous souhaitons lancer des Metavers pour moderniser l'Afrique grâce aux technologies immersives.",Togo
"Yendi Play",https://cdn.fs.agorize.com/CcmyyjczQPynuJjZW8f6/convert?crop_first=true&fit=crop&h=140&w=300,"Yawo bernard Yovo","Yendi Play est une plateforme digitale, sous la forme d'une application mobile, dediée à la distribution en streaming et en téléchargement de musique africaine.",Togo
YOURI’INNOV,https://cdn.fs.agorize.com/D2QGX3qiSc2FvIehndp0/convert?crop_first=true&fit=crop&h=140&w=300,"Gagarine wentama Bakele","YOURI’INNOV est l'entreprise agro-alimentaire créée le 03 Janvier 2020 et qui est spécialisée dans la transformation biologique de l'ail en un dérivé qu'est l'AIL NOIR qui regorge plus de vertus santé",Togo
20sur20EdTech,https://startupper.totalenergies.com/team-avatar-8.jpg,"Ahmadou alghassim Ba","20/20 est une bibliothèque de vidéos éducatives et d’animations couvrant tout le programme scolaire de l'Afrique francophone sur toutes les matières.",Sénégal
"2D Company",https://cdn.fs.agorize.com/uWVplPOMTteOnvvQ9xap/convert?crop_first=true&fit=crop&h=140&w=300,"Moustapha Niang","2D Company est une entreprise spécialisée dans la valorisation des produits locaux tels que les chaussures de Ngaye les costumes africains et tout ce qui va avec la mode.",Sénégal
"AAR SOUNIOU M'BAYE",https://cdn.fs.agorize.com/7vsEX5RpGNpXaIihmSVw/convert?crop_first=true&fit=crop&h=140&w=300,"Constantino Diatta","Le projet consiste à mettre en place un système d'alerte et de chasse des oiseaux granivores du riz. Il permettra de réduire les pertes en rendements que sont confrontés les producteurs de riz.",Sénégal
"AGENCE D'INFLUENCEUR",https://cdn.fs.agorize.com/UjgZDtQ4TGqAfeNBIdtG/convert?crop_first=true&fit=crop&h=140&w=300,"Mariama Toure","Nous sommes la première agence d'influenceurs au Sénégal, maintenant le digital prend le dessus en matière de publicité.",Sénégal
"agro hors sol",https://cdn.fs.agorize.com/RZozkDtmToedzte8j1qi/convert?crop_first=true&fit=crop&h=140&w=300,"El hadji moussa Diagne","notre projet a pour but la mise en place d'une culture hors sol (hydroponique)",Sénégal
"Amal Crowdfunding",https://startupper.totalenergies.com/team-avatar-9.jpg,"Fatou Gning","Mon projet consiste en la création d'une plateforme de crowdfunding (financement participatif) qui aidera les jeunes entrepreneurs à avoir les fonds nécessaires de démarrage pour leur activité.",Sénégal
Ameyo-Mébou,https://cdn.fs.agorize.com/CAdygQKAR1CwyOD43Zow/convert?crop_first=true&fit=crop&h=140&w=300,"Diariatou Ndoye","Le couplage de l'énergie solaire photovoltaïque et de la conversion thermodynamique. Il est important pour nous de préciser qu’une des caractéristique de ce système est son facteur de concentration.",Sénégal
ART-PESOUNG,https://cdn.fs.agorize.com/xVYCV6EQRwxA5f2J3Ghw/convert?crop_first=true&fit=crop&h=140&w=300,"Joséphine Tine","ART-PESOUNG est spécialisée dans la construction et la vente des toilettes écologiques à base de brique de terre compressée et des fosse non vidangeables.",Sénégal
ASMECO,https://cdn.fs.agorize.com/Y99E7APQsysQlvyE35Iu/convert?crop_first=true&fit=crop&h=140&w=300,"Aliou Sene","Notre entreprise ASMECO de SAPA consiste à recruter, former, placer, mettre en relation et suivre des assistantes de ménages (domestiques) dans les grandes villes du Sénégal.",Sénégal
Avi-Tech,https://cdn.fs.agorize.com/tAPHRsj6SmydBnBCbZWJ/convert?crop_first=true&fit=crop&h=140&w=300,"Aliyoune Thiam","Avi-Tech est une entre prise qui évolue dans le domaine de l'aviculture et de la technologie. Nous élevons tous types de volailles et fabriquons des matériels et machines avicoles.",Sénégal
"AwA Bio Foods",https://cdn.fs.agorize.com/buMYiiJlRhS1Ip9GmXpw/convert?crop_first=true&fit=crop&h=140&w=300,"Awa Mbengue","AwA Bio Foods est entreprise de préparation et vente des produits 100% naturels et bio notamment plus de vingt de variétés de jus de fruits pour booster la santé et le bien-être des consommateurs.",Sénégal
"Bioénergie & Engrais pour Tous",https://cdn.fs.agorize.com/zox8kxDATN6FhxiQFc0D/convert?crop_first=true&fit=crop&h=140&w=300,"Aminata Ndiaye","Le Projet Bioénergie et Engrais pour tous, porté par SBG vise le développement des activités économiques, de l’auto-emploi et de l’entreprenariat des femmes et jeunes",Sénégal
"BUUR LOGISTICS",https://cdn.fs.agorize.com/Y4ttdRlSRaplt275ZWAJ/convert?crop_first=true&fit=crop&h=140&w=300,"Amadou Dieng","Buur Logistics est une startup sénégalaise qui évolue dans le secteur du transport et de la logistique durable grâce à ses bases de données transporteurs (+2000 drivers) .",Sénégal
"Car Rapide Partners",https://cdn.fs.agorize.com/AhilGlNlTJa8EilMSCEi/convert?crop_first=true&fit=crop&h=140&w=300,"Fatou morgana Diop","Car Rapide Partners est une application mobile qui trace l’ensemble des processus opérationnels du E-commerce. Elle permet la connectivité de celui qui commande jusqu’à sa livraison.",Sénégal
"Céréale infantile au moringa",https://cdn.fs.agorize.com/VAf2rcfETTe8bCvtBgAE/convert?crop_first=true&fit=crop&h=140&w=300,"Arfang mafoudji Sonko","C’est un projet de production et de commercialisation de céréales infantiles faites à base des produits locaux et fortifiées au moringa oleifera pour lutter contre la malnutrition au Sénégal.",Sénégal
"Création de ferme agricole.",https://startupper.totalenergies.com/team-avatar-4.jpg,"Mamadou sadio Camara","Mon projet constitue une ferme agricole de production de légumes et de poulets de chairs. Ce sont des produits fortement demandé sur le marché de la region de Kédougou.",Sénégal
"DBServices Group",https://cdn.fs.agorize.com/7XuMxLFESPMwJuRH10zH/convert?crop_first=true&fit=crop&h=140&w=300,"Moussa Sow","DBServices Group SARL est une entreprise de négoce et de transport international, créée depuis le 23/02/2021 à Casablanca au Maroc, présent au Sénégal, en Cote d'ivoire et en France.",Sénégal
"De l'eau pour tous",https://startupper.totalenergies.com/team-avatar-2.jpg,"Ndeye aminatou Thiam","la réalisation des forages d'eau et adduction. Mon projet est de permettre aux paysans qui n' ont pas les moyens d'avoir l'accès a l'eau a moindre cout pour Un bon assainissement en millieu rural",Sénégal
"digitalisation prima himo",https://cdn.fs.agorize.com/tjRzBhdIQeaPwSVzF3LQ/convert?crop_first=true&fit=crop&h=140&w=300,"Ndeye aldjiguene Gueye","Production de vidéo documentaires, clips pour la visibilité des thèmes chantés. Publicité dans les réseaux sociaux. Publications dans le site du label et les réseaux sociaux.",Sénégal
"Digital-pro du Sénégal",https://startupper.totalenergies.com/team-avatar-10.jpg,"Cheikh djibril Séne","Notre projet parle d'un réseau télécommunication et du digital",Sénégal
Digitera,https://cdn.fs.agorize.com/bpx5QZcSTFS54X6VcDZz/convert?crop_first=true&fit=crop&h=140&w=300,"Ndeye rokhaya Sarr","Nous proposons des systèmes de pompage et d'irrigation solaire pour les agriculteurs",Sénégal
DigitFall,https://cdn.fs.agorize.com/kTaxTrRvurdvz1Bf4uEQ/convert?crop_first=true&fit=crop&h=140&w=300,"Bathie mbaye Wade","Digit Fall est un entreprise de marketing digital et design. On est especialisè sur la publicité de manière générale avec des panneaux publicitaires lumineux....Ainsi on est dans l'immobilier générale",Sénégal
Diorbi,https://cdn.fs.agorize.com/AfuBuHQzTZKjTsoGyGqW/convert?crop_first=true&fit=crop&h=140&w=300,"Babacar Ndiaye","Construction d'une ferme de production de poulet local et de fruits de sapotilles biologique",Sénégal
DNA,https://cdn.fs.agorize.com/txMndigITTeoYtuLZwL4/convert?crop_first=true&fit=crop&h=140&w=300,"Mariama djambony Badji","DNA est une entreprise de constructions écologiques qui contribue principalement au bien-être des populations et au respect de l'environnement en utilisant des matériaux durables comme la terre crue.",Sénégal
"Don de Soi",https://startupper.totalenergies.com/team-avatar-1.jpg,"Masokhna Fall","Don de soi est un projet de E-santé dédié au don de sang et aux pathologies sanguin",Sénégal
"E-business company transport",https://cdn.fs.agorize.com/gpHK0PCRXCs7YX9MSEgy/convert?crop_first=true&fit=crop&h=140&w=300,"Moustapha Diagne","E-business company est une petite entreprise de transport scolaires basé à touba. Depuis plus de deux décennies on ville confronte une réel problème de transport pour les élèves.",Sénégal
E-cover,https://cdn.fs.agorize.com/Q15lvKSRQYW6r0z5lHGG/convert?crop_first=true&fit=crop&h=140&w=300,"Yaye souadou Fall","E-cover a pour activité la revalorisation de pneus usés: en granulats SBR, destinés au gazon synthétique. en broyat comme combustible alternatif en cimenterie",Sénégal
"E-Santé PharmApp",https://cdn.fs.agorize.com/bpAvInJQR5uz4PsFhITL/convert?crop_first=true&fit=crop&h=140&w=300,"Malick Diakhaté","Une application innovante qui permet aux utilisateurs de trouver facilement une pharmacie, un médecin ou un service de santé, ainsi que d'avoir des informations sur les médicaments et les maladies.",Sénégal
Feeñ-na,https://cdn.fs.agorize.com/8Q3aO6CT5yJvQ0oe5K4g/convert?crop_first=true&fit=crop&h=140&w=300,"Alioune Touré","www.fegnena.com, Feeñ na propose une solution pour les besoins des victimes de pertes : tels que les déclarations de document, la vérification de la disponibilité des objets et la demande de retrait.",Sénégal
"Ferme biologique intégrée",https://startupper.totalenergies.com/team-avatar-5.jpg,"Hamath Sy","C'est un projet qui consiste à faire l'élevage de poisson (pisciculture), aviculture et maraîchage a circuit fermé. C'est à dire les de chaque activité serve de matière pour l'autre.",Sénégal
"Ferme digitale Sainbioz",https://cdn.fs.agorize.com/bAIwPfTnQVawIpZ8JiDr/convert?crop_first=true&fit=crop&h=140&w=300,"Khady Sao","Cest une plateforme qui connecte les producteur bio et leur clientele . Les producteurs livrent des fruits et legumes bio a leurs clients qui en retour leur troquent leurs sachets organiques",Sénégal
FOROBA,https://cdn.fs.agorize.com/UaaGRnzRku8EQAfQ6wtg/convert?crop_first=true&fit=crop&h=140&w=300,"Adjaratou Faye","FOROBA est un projet dans le secteur de l’agroalimentaire alliant à la fois agriculture et transformation. Notre vision est de créer une forêt comestible regorgeant de fruits de légumes et d’herbes",Sénégal
"Gestion déchets biomédicaux",https://startupper.totalenergies.com/team-avatar-8.jpg,"Babacar waly Ndiaye","Nous comptons mettre sur place un Centre de Traitement et de gestion des déchets biomédicaux à Sebikotane",Sénégal
"Global Care Distribution",https://cdn.fs.agorize.com/Q3x1nrazSvKdhz7ewgjP/convert?crop_first=true&fit=crop&h=140&w=300,"Mohamed Attye","Distribution de produits jetables et hygiéniques destinés à tous les secteurs d'activité .",Sénégal
"Global Solutions Communication",https://cdn.fs.agorize.com/ygIEpJTJTjiXGEeej4Ud/convert?crop_first=true&fit=crop&h=140&w=300,"Cheikh sidiya el kebir Ba","GLOBAL SOLUTIONS COMMUNICATIONS intervient dans les domaines de la conception d’objets publicitaires, de conception graphique, en impression numérique...",Sénégal
"Hydro Services Tech",https://cdn.fs.agorize.com/3ZbUOfo0QTKZY2uXCsSY/convert?crop_first=true&fit=crop&h=140&w=300,"Cheikh Ndoye","Services de maintenance pour les forages et système de pompage. Fournitures d’équipement et services après-vente (Hydraulique, énergie renouvelable et BTP) Etude et réalisation de forage",Sénégal
"IMAGE Sarl",https://cdn.fs.agorize.com/62ybNGToWHfvrEIuu8Og/convert?crop_first=true&fit=crop&h=140&w=300,"Ndeye yacine Diagne","Facilité l'accès aux activités agricoles par la formation, l'accompagnement et la gestion d'investissement ; et ainsi apporter une réponse efficace aux maux de l'Afrique avec le retour vers la nature.",Sénégal
